eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;2.9185;72.9624;72.9624;
comp 2;0.914;22.8508;95.8132;
comp 3;0.1468;3.6689;99.4821;
comp 4;0.0207;0.5179;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;
;0.7952;0.3465;-0.6809;-0.4643;
;0.3891;-0.2363;0.2241;0.2532;
;-0.0236;-1.1074;-0.8342;-0.4501;
;0.0766;-1.6341;-0.3915;0.0653;
;0.0137;-1.6448;-0.6305;0.2277;
;0.1414;-0.813;-0.3947;-0.1643;
;0.6211;-0.663;0.2749;1.2782;
;0.1311;-0.301;1.7365;1.7705;
;0.2512;0.8845;1.1763;0.762;
;0.6139;0.5461;-1.0331;-0.2585;
;0.6114;-1.4466;-1.7967;-0.9507;
;0.0407;-0.2296;0.7611;1.0224;
;0.1659;-1.3904;0.2334;-0.0619;
;0.1634;-1.1715;0.2466;1.8805;
;0.3656;0.0261;-0.0535;1.0261;
;0.197;-1.0338;-0.5205;-0.0454;
;-0.212;-2.1121;0.2762;-0.136;
;0.1689;-0.8951;0.3417;0.7462;
;0.0535;-0.1895;0.3367;1.5978;
;0.1333;-0.4026;0.4078;0.9213;
;0.3374;-0.162;-0.7091;0.138;
;-0.262;-1.6148;0.497;-1.3892;
;0.1503;-0.6264;0.2398;0.4073;
;1.0797;0.9104;2.6245;0.3422;
;0.6778;-0.731;1.3839;0.2815;
;1.2909;0.5878;-0.5297;-0.4112;
;0.843;-0.0491;0.4271;1.6381;
;1.0933;0.3086;1.0327;0.1132;
;1.6108;0.8372;-1.52;0.7044;
;0.2148;-1.6333;2.5761;0.9249;
;1.3477;0.4394;-1.7012;1.6539;
;1.1746;-0.7441;-1.0285;0.6011;
;1.3228;2.0093;1.0378;-0.7284;
;0.7985;0.7246;0.7429;-0.7494;
;0.9381;-0.4411;0.0605;-0.4053;
;1.1028;0.4385;0.0688;-1.0173;
;0.7376;-1.2157;1.5147;-0.6889;
;0.8591;-0.4626;2.6205;-1.9153;
;0.9308;0.7073;1.6665;-1.3331;
;0.8613;0.2674;0.0977;1.0792;
;1.4203;2.6742;-0.3338;1.9024;
;1.9379;0.0186;-1.8359;-0.314;
;0.7398;-1.7852;-0.6984;0.4529;
;1.1928;0.9523;0.6129;-1.1669;
;0.5725;-0.598;2.1617;-0.1928;
;1.6962;0.4327;-2.2382;0.8847;
;0.7804;-0.504;-0.0142;-0.9724;
;0.9955;1.0605;0.7791;0.4283;
;1.144;1.0541;-1.0963;1.517;
;0.6879;-0.3309;0.3392;-0.8714;
;0.5976;0.0673;0.8816;0.0601;
;1.0468;-0.196;0.7065;-0.216;
;1.0909;0.5881;-1.8681;1.4467;
;1.4259;0.2712;-1.8999;0.1245;
;1.3492;2.7471;-1.2881;1.4707;
;1.0903;-0.1868;0.9245;-0.6949;
;0.6522;-0.3064;-0.479;1.2947;
;0.7039;-0.8486;-0.43;3.4009;
;1.6383;0.8962;-1.4172;-2.0558;
;0.9227;1.1177;2.469;-0.2474;
;0.7881;0.4419;0.4722;1.4967;
;0.5414;0.018;1.0881;-0.0364;
;1.0841;0.7072;-0.0331;-1.3562;
;1.1794;0.6421;1.1181;-1.7199;
;1.1132;0.7213;0.3395;-3.2634;
;0.6778;-0.731;1.3839;0.2815;
;1.1945;0.9074;0.8827;-0.314;
;1.1696;1.0974;1.6508;-1.4872;
;1.0949;0.4048;0.669;-2.7046;
;0.9158;-0.9379;-0.0688;-1.5299;
;0.8904;0.2814;0.4703;-0.828;
;0.8036;1.0577;2.4365;-0.1815;
;0.5623;-0.0255;1.3789;1.1331;

V
   ;
;0.5211;0.3774;-0.7196;-0.2613;
;-0.2693;0.9233;0.2444;0.1235;
;0.5804;0.0245;0.1421;0.8014;
;0.5649;0.0669;0.6343;-0.5236;

